product_id,ip,url,product_name
102509,87.123.196.214,https://www.glamira.de/glamira-ring-oiffe.html?alloy=red-585&diamond=diamond-Swarovsky&stone2=diamond-sapphire,Glamira Ring Oiffe
102002,188.57.14.121,https://www.glamira.com.tr/glamira-ring-loronda.html?alloy=white-585&diamond=diamond-Brillant&stone2=diamond-Brillant,Glamira Ring Loronda
100932,173.252.127.6,https://www.glamira.ch/glamira-bracelet-cherise.html?alloy=white_red-375&fbclid=IwAR3TSMDSivx5zb6otIL1k6yZId_Xt7xYP4UqtcYN2pMKlIiG-3vJ8c__sXo,Glamira Bracelet Cherise
85809,31.13.127.21,https://www.glamira.de/glamira-halsketten-maria-skug100700.html?fbclid=IwAR33xNLugRer17gjnEABkzGNyVTlETaMJSzg4syv2u5bnMd0aR3C4o8YzsU,Glamira Halsketten Maria Skug100700
90183,91.141.3.33,https://www.glamira.at/glamira-initialen-anhanger-g.html?alloy=yellow-375&diamond=ruby,Glamira Initialen Anhanger G
96459,138.21.148.250,https://www.glamira.com/glamira-ring-cadence.html?alloy=white-585&diamond=diamond-sapphire&stone2=diamond-sapphire,Glamira Ring Cadence
109726,70.29.225.229,https://www.glamira.ca/charming-infinite-8-mm.html?alloy=red-585&gclid=EAIaIQobChMIg-a08vfn6QIVUUNyCh3SkQFwEAEYASACEgKAk_D_BwE,Charming Infinite 8 Mm
90940,84.214.24.169,https://www.glamira.no/glamira-ring-bridal-rise-0.5crt.html?alloy=white-585&diamond=diamond-sapphire&gclid=EAIaIQobChMIn7HB2Pfn6QIVmMmyCh3sdQ0BEAQYASABEgJTX_D_BwE,Glamira Ring Bridal Rise 0.5Crt
84883,81.143.201.1,https://www.glamira.co.uk/glamira-diamonds-ring-madeleine-skug100165.html?alloy=white-375&diamond=diamond-Brillant&stone2=diamond-Brillant,Glamira Diamonds Ring Madeleine Skug100165
98252,160.80.224.9,https://www.glamira.it/glamira-ring-agrippina.html?alloy=white-750&diamond=emerald&stone2=diamond-Brillant&stone3=diamond-Brillant,Glamira Ring Agrippina
103324,173.252.87.14,https://www.glamira.co.uk/glamira-ring-zanyria.html?stone3=diamond-Brillant&fbclid=IwAR0Jrgo2uvG80ocwK_Gje8jj5hVB_J57XnSXQt7RtmhK4ch16eOi8ymKmd0,Glamira Ring Zanyria
92405,31.13.115.117,https://www.glamira.de/glamira-earring-alessandra.html?utm_campaign=webconversion&fbclid=IwAR10HIRMLmsqx55-3Z5tRm9zgw_2N_IkeZTbCZuIYi5vhUiFcr7-TMTET84,Glamira Earring Alessandra
103508,173.252.127.18,https://www.glamira.se/glamira-ring-vontasia.html?itm_source=recommendation&itm_medium=sorting&fbclid=IwAR0VB9w4XLeQ64DHJWkwWNkakIJw6mLFxjySItmbB8HqBHFmgm9wsEF5oIc,Glamira Ring Vontasia
98357,31.0.41.5,https://www.glamira.pl/glamira-ring-dorotea.html?alloy=yellow-585&diamond=rose-quartz,Glamira Ring Dorotea
89601,84.183.23.38,https://www.glamira.de/glamira-ring-magical-day.html?alloy=white-silber&diamond=sapphire,Glamira Ring Magical Day
91046,99.231.18.190,https://www.glamira.ca/glamira-ring-abella-0.16-crt.html?alloy=red-585&diamond=diamond-Brillant&stone2=diamond-Swarovsky&itm_source=recommendation&itm_medium=sorting,Glamira Ring Abella 0.16 Crt
80297,202.161.1.193,https://www.glamira.com.au/smart-ease-skup7011.html?alloy=white-silber&stone=diamond-Brillant&itm_source=recommendation&itm_medium=sorting,Smart Ease Skup7011
110020,173.252.127.111,https://www.glamira.com/glamira-ring-orina.html?fbclid=IwAR2uIqb2gDWKZMuYhHRekbY3Dvk1FaXyHtpm-a2cZVnJ9YHFHDF3A61ljbo,Glamira Ring Orina
92397,173.252.127.12,https://www.glamira.de/glamira-ring-fleta.html?fbclid=IwAR0KkVRWsHmXvpbhW0lQOEnkTF5FlCuP8pPo1XiNsUSsbIhdv3wZyDTk63Y,Glamira Ring Fleta
104183,81.244.169.127,https://www.glamira.be/fr/glamira-ring-massima.html?stone2=diamond-sapphire&alloy=red_white-585&diamond=diamond-Swarovsky&gclid=CjwKCAjwt-L2BRA_EiwAacX32Y4zhalJf6oFVQ79wF5Iuhyl1Kb1t5R-J7BUlqH83zxOiKPv1S8rCRoCFyQQAvD_BwE,Glamira Ring Massima
102065,173.252.87.20,https://www.glamira.co.uk/glamira-pendant-lamyra.html?fbclid=IwAR3XMm7UJbXNHbmRkZk6xkBaaq4BiPn8dSm092n-OtNJnkoeiGNRUc8ld5w,Glamira Pendant Lamyra
95760,69.171.251.21,https://www.glamira.be/heavenly-tender-5mm.html?stone=diamond-Brillant&fbclid=IwAR2YDCp0Mc4jTz2G8Gsrprd99ZvlU5A9ba6iGkLPv1lxfu5P1bi663goAA0&alloy=red_white-375,Heavenly Tender 5Mm
84792,69.171.251.15,https://www.glamira.com.au/glamira-diamonds-ring-hercules-skug100545.html?fbclid=IwAR3CmXrjxbTQtkuNfKMH1IlV1lVqiiSWcGYFh8l50Puo_P2Bnsp0hXa9BlI,Glamira Diamonds Ring Hercules Skug100545
99558,80.215.72.230,https://www.glamira.fr/glamira-men-earring-kmetov.html?alloy=white-585&diamond=diamond-sapphire,Glamira Men Earring Kmetov
102504,192.143.184.154,https://www.glamira.co.za/glamira-ring-tamriel.html?alloy=red-585&diamond=bluediamond&stone2=diamond-Brillant,Glamira Ring Tamriel
103352,173.252.127.2,https://www.glamira.fi/glamira-sormus-maharlika.html?fbclid=IwAR2hoUemJOx1oHjEXB9p3oZYGvF6QD_ib6ulyVB1MbQbMQA5b1Gk57VSHp8,Glamira Sormus Maharlika
103939,66.220.149.24,https://www.glamira.fr/glamira-pendant-mayzelle.html?fbclid=IwAR0fXZf14lMObcg3m2pps-9u2oHEkjTrBASkrm2KBEEUrUwtOyTp5R7Hdqc,Glamira Pendant Mayzelle
110561,78.180.53.128,https://www.glamira.co.uk/glamira-ring-bona-2.0-crt.html?alloy=yellow-750&diamond=kunzite,Glamira Ring Bona 2.0 Crt
84859,60.240.34.170,https://www.glamira.com.au/glamira-ring-daisy-skug100430.html?alloy=red-585&diamond=diamond-Brillant&synthetic=labdiamond&stone2=diamond-Brillant,Glamira Ring Daisy Skug100430
96047,77.119.131.0,https://www.glamira.at/alluring-spring-4-mm.html?alloy=white-585&stone=diamond-Brillant,Alluring Spring 4 Mm
108732,31.13.115.117,https://www.glamira.bg/glamira-ring-aurkene.html?fbclid=IwAR0kBS3E4ZzSPXv8-wrOVaJDWkrbdolg79cwmk5FjgS81dlarnT7NMaGia0,Glamira Ring Aurkene
80315,173.252.95.120,https://www.glamira.ca/smart-queen-skup7013.html?stone=diamond-Brillant&fbclid=IwAR3VnQHrU_TabIAUlX256jRbrh-I0_7dSug1DMPGvVtnZAqYVQLahaErFmg&alloy=white-375,Smart Queen Skup7013
99682,101.162.92.128,https://www.glamira.com.au/womens-ring-exotic-birth.html?alloy=red_white-585&stone=diamond-Zirconia,Womens Ring Exotic Birth
95560,24.133.169.84,https://www.glamira.com.co/catalog/product/view/id/95560?no_cache=1,95560
92307,173.252.87.15,https://www.glamira.fr/glamira-ring-effie.html?fbclid=IwAR0TTR1J5fajEZE8syTDLAXCjmiqL1yxYyph6MzQXvBDrHC8F9SjWogJrVE,Glamira Ring Effie
98154,202.161.1.193,https://www.glamira.com.au/unique-promise-4-mm.html?alloy=white-silber&stone=diamond-Zirconia&itm_source=recommendation&itm_medium=sorting,Unique Promise 4 Mm
92735,77.241.128.114,https://www.glamira.dk/ringe-til-kvinder-classic-expression-2-mm.html?alloy=yellow-375&stone=diamond-Brillant,Ringe Til Kvinder Classic Expression 2 Mm
100982,173.252.127.2,https://www.glamira.ch/glamira-bracelet-andreya.html?alloy=yellow-750&fbclid=IwAR1LfVJs1cMjDn8DeQvQTzvEpnDZpD7A_kRdw8LFFkT4OmSO-6wowamdtp0,Glamira Bracelet Andreya
110381,84.50.168.41,https://www.glamira.ee/glamira-horoscope-pendant-taurus.html,Glamira Horoscope Pendant Taurus
84806,173.252.95.27,https://www.glamira.fr/glamira-diamant-bagues-rosalie-skug100615.html?fbclid=IwAR3DWP9GiMcI3Hi5cLZ7mMLG1LVdjkYH3GGpVaPqeibIpp0nA7bvtiZbbX8,Glamira Diamant Bagues Rosalie Skug100615
93360,173.252.87.118,https://www.glamira.at/damenring-classic-flower-5-mm.html?fbclid=IwAR2mNdY_5IZnBL1OnrpX1e3FotXNN3XvECy961zOzn-QWQbX3piACrN75w0&alloy=yellow-585,Damenring Classic Flower 5 Mm
